City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Bin Qirdan,TN,78.15,clear sky,33.1378,11.2197,Hôtel Palace
247,Nouakchott,MR,84.13,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
250,Hirara,JP,83.03,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
252,San Felipe,VE,85.77,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
253,Gerash,IR,84.34,few clouds,27.6652,54.1371,Sa'adat House
254,Kahului,US,81.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
256,Bujaru,BR,86.02,overcast clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
260,Cabedelo,BR,86.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
262,Beira,MZ,78.89,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
263,Westport,US,79.74,clear sky,41.1415,-73.3579,The Westport Inn
264,Namatanai,PG,79.12,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
271,Pochutla,MX,86.83,few clouds,15.7432,-96.4661,Hotel Posada San Jose
276,Bull Savanna,JM,83.79,few clouds,17.8868,-77.5902,Big Red's
281,Praya,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
286,Buin,CL,75.06,clear sky,-33.7333,-70.75,Paihuen
294,Abnub,EG,77.22,clear sky,27.2696,31.1511,Romany Adly Gad
299,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
301,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
302,Littleton,US,79.32,few clouds,39.6133,-105.0166,InTown Suites Extended Stay Denver CO - Englewood
303,Wajid,SO,79.95,few clouds,3.8093,43.2471,xamdihotelresturant114
308,Garowe,SO,77.9,overcast clouds,8.4054,48.4845,Curubo Hotel
311,San Fernando,PH,80.69,overcast clouds,15.0286,120.6898,Maharlika Hostel
318,Griffith,US,78.73,overcast clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
319,Monaragala,LK,77.52,light rain,6.8714,81.3487,Silanrich Hotel
320,Pa Sang,TH,75.4,broken clouds,18.5262,98.9394,โรงแรม จามจุรี 99
321,Bubaque,GW,82.35,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
325,Eagle Pass,US,88.38,scattered clouds,28.7091,-100.4995,"Holiday Inn Express & Suites Eagle Pass, an IHG Hotel"
327,Prachuap Khiri Khan,TH,80.69,light rain,12.2167,99.75,ผกากรองรีสอร์ท
331,San Cristobal,VE,82.58,few clouds,7.7669,-72.225,Posada Villaven C.A.
344,Celestun,MX,87.64,broken clouds,20.8667,-90.4,Posada Lilia
348,Dakar,SN,85.08,few clouds,14.6937,-17.4441,Redface Studios Meublés
349,Danjiangkou,CN,77.63,light rain,32.5428,111.5086,Dongsheng Guesthouse
360,Suarez,CO,84.43,overcast clouds,2.954,-76.6964,Hotel Estrella Dorada
363,Honiara,SB,77.34,scattered clouds,-9.4333,159.95,Heritage Park Hotel
364,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
368,Guerrero Negro,MX,85.93,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
372,Gasa,PS,78.78,overcast clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
378,Kudahuvadhoo,MV,83.34,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
380,Kyaukse,MM,76.68,few clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
381,Laurinburg,US,85.1,few clouds,34.7741,-79.4628,"Holiday Inn Express & Suites Laurinburg, an IHG Hotel"
394,Sola,VU,79.52,scattered clouds,-13.8833,167.55,Leumerus Bungalows
396,Takoradi,GH,78.1,overcast clouds,4.8845,-1.7554,Raybow International Hotel
397,Cristalina,BR,82.54,overcast clouds,-16.7686,-47.6136,HOTEL TOPAZIO
398,Faanui,PF,78.69,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
403,Qui Nhon,VN,76.93,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
407,Mecca,SA,87.85,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
408,Ceres,US,87.71,haze,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
413,Panalingaan,PH,76.75,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
415,Elizabeth City,US,87.03,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
417,Eufaula,US,82.44,broken clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
418,Ipixuna,BR,85.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
